Kode #Nama Barang,Kode #,Nama Barang
910001BOR DUDUK - LEOPARD 16MM,910001,BOR DUDUK - LEOPARD 16MM
910001BOWL CUTTER - HEAVYPRO ZB200L,910001,BOWL CUTTER - HEAVYPRO ZB200L
910001BOWL CUTTER 200L MANUAL,910001,BOWL CUTTER 200L MANUAL
910001BRANKAS - SOLINGEN BERNSTEIN SIZE 2,910001,BRANKAS - SOLINGEN BERNSTEIN SIZE 2
910001BRANKAS KOTAK 1 PINTU - BERNSTEIN SIZE 2,910001,BRANKAS KOTAK 1 PINTU - BERNSTEIN SIZE 2
910001CCTV SET,910001,CCTV SET
910001CCTV SET - HILOOK INDOOR 4IN1 5MP,910001,CCTV SET - HILOOK INDOOR 4IN1 5MP
910001CHILLER SHOWCASE - MODENA SC1303,910001,CHILLER SHOWCASE - MODENA SC1303
910001CHILLER UNDERCOUNTER - ROYALSTAR BD/BC 438,910001,CHILLER UNDERCOUNTER - ROYALSTAR BD/BC 438
910001CHILLER UNDERCOUNTER - ROYALSTAR BD/BC-438,910001,CHILLER UNDERCOUNTER - ROYALSTAR BD/BC-438
910001CHILLER UNDERCOUNTER ROYALSTAR BD/BC-438,910001,CHILLER UNDERCOUNTER ROYALSTAR BD/BC-438
910001Chiller Undercounter Turboair,910001,Chiller Undercounter Turboair
910001Cold Drink Dispenser,910001,Cold Drink Dispenser
910001CONTINOUS SEALER - 770 I PLAT,910001,CONTINOUS SEALER - 770 I PLAT
910001CONVEYOR BELT - IQF,910001,CONVEYOR BELT - IQF
910001CONVEYOR ROLLER GRAVITY,910001,CONVEYOR ROLLER GRAVITY
910001COOLING TABLE - SS 304 1800x1600x830,910001,COOLING TABLE - SS 304 1800x1600x830
910001COOLING TABLE PERFORATED - SS 304 1800x800x830,910001,COOLING TABLE PERFORATED - SS 304 1800x800x830
910001CRATCHO BEVERAGE DISPENSER E 295-4 (MINI TWIN),910001,CRATCHO BEVERAGE DISPENSER E 295-4 (MINI TWIN)
910001CUP SEALER - AUTATA ATT-955,910001,CUP SEALER - AUTATA ATT-955
910001DEEP FRYER - NAYATI GFE/40 RSP,910001,DEEP FRYER - NAYATI GFE/40 RSP
910001DEEP FRYER - NAYATI NGF 30 EC,910001,DEEP FRYER - NAYATI NGF 30 EC
910001DEEP FRYER GFE/40,910001,DEEP FRYER GFE/40
910001DISPENSER KECAP - AUTATA  ATT9L,910001,DISPENSER KECAP - AUTATA  ATT9L
910001DOUBLE KWALIE RANGE,910001,DOUBLE KWALIE RANGE
910001DOUBLE KWALIE RANGE - SS 201 1600x1000x800/1200,910001,DOUBLE KWALIE RANGE - SS 201 1600x1000x800/1200
910001DUCTING SET EXHAUST,910001,DUCTING SET EXHAUST
910001DVR CCTV,910001,DVR CCTV
910001DVR CCTV - HIKVISION,910001,DVR CCTV - HIKVISION
910001DVR CCTV - HILOOK 16 CHANEL 5IN1 5MP,910001,DVR CCTV - HILOOK 16 CHANEL 5IN1 5MP
910001DVR CCTV - HILOOK 16CH,910001,DVR CCTV - HILOOK 16CH
910001DVR HIKVISION 16CH,910001,DVR HIKVISION 16CH
910001ELECTRIC TILTING BRATT PAN - METOS VIKING MIXPAN 250,910001,ELECTRIC TILTING BRATT PAN - METOS VIKING MIXPAN 250
910001FILTER AIR - NAZAVA PASIR SILIKA FRP 10,910001,FILTER AIR - NAZAVA PASIR SILIKA FRP 10
910001FORKLIFT BATTERY - HELI H4 SERIES - CPD25 A7LiH4S,910001,FORKLIFT BATTERY - HELI H4 SERIES - CPD25 A7LiH4S
910001FREEZER - MODENA MD-65W,910001,FREEZER - MODENA MD-65W
910001FREEZER MODENA MD-65W,910001,FREEZER MODENA MD-65W
"910001FTC/RC-35NV14 AC DAIKIN 1,5PK THAILAND",910001,"FTC/RC-35NV14 AC DAIKIN 1,5PK THAILAND"
910001FTC/RC-50XV14 AC DAIKIN 2PK THAILAND,910001,FTC/RC-50XV14 AC DAIKIN 2PK THAILAND
910001GENSET,910001,GENSET
910001GENSET - TCA-50US SILENT 50 KVA + PANEL,910001,GENSET - TCA-50US SILENT 50 KVA + PANEL
910001GENSET 50 KVA+PANEL+KNALPOT,910001,GENSET 50 KVA+PANEL+KNALPOT
910001GENSET SILENT 50 KVA + PANEL,910001,GENSET SILENT 50 KVA + PANEL
910001GERINDA DUDUK - MAKITA  GB602,910001,GERINDA DUDUK - MAKITA  GB602
910001GRIDDLE - NAYATI EGFT 6-60 W/STD ECONA GAS,910001,GRIDDLE - NAYATI EGFT 6-60 W/STD ECONA GAS
910001GRIDDLE EGFT 6-60 W/STD ECONA GAS,910001,GRIDDLE EGFT 6-60 W/STD ECONA GAS
910001HANDPALLET 3 TON,910001,HANDPALLET 3 TON
910001HANDPHONE (HP) - REALME C67 8/128GB,910001,HANDPHONE (HP) - REALME C67 8/128GB
910001HANDPHONE (HP) - XIAOMI REDMI NOTE 12 8/128GB,910001,HANDPHONE (HP) - XIAOMI REDMI NOTE 12 8/128GB
910001HIGH PRESSURE CLEANER - KARCHER K5 WCM,910001,HIGH PRESSURE CLEANER - KARCHER K5 WCM
910001HOLDING CABINET ELECTRIC - NAYATI NEHC-5,910001,HOLDING CABINET ELECTRIC - NAYATI NEHC-5
910001HOTPLATE - IKA CMAGHS7,910001,HOTPLATE - IKA CMAGHS7
910001ICE BIN,910001,ICE BIN
910001ICE BIN (KITCHEN AREA),910001,ICE BIN (KITCHEN AREA)
910001INCUBATOR - MEMMERT IN55,910001,INCUBATOR - MEMMERT IN55
910001JANITOR CABINET - KRISBOW 900X45X1850MM,910001,JANITOR CABINET - KRISBOW 900X45X1850MM
910001KOMPOR GAS 2 TUNGKU,910001,KOMPOR GAS 2 TUNGKU
910001KOMPOR GAS 3 TUNGKU,910001,KOMPOR GAS 3 TUNGKU
910001KOMPOR GAS HIGH PREASURE 1 BURNER,910001,KOMPOR GAS HIGH PREASURE 1 BURNER
910001KOMPOR GAS HIGH PREASURE 2 BURNER,910001,KOMPOR GAS HIGH PREASURE 2 BURNER
910001KOMPOR GAS HIGH PREASURE 2 BURNER (KITCHEN AREA),910001,KOMPOR GAS HIGH PREASURE 2 BURNER (KITCHEN AREA)
910001KOMPOR GAS HIGH PREASURE 2 BURNER KOMPOR GAS HIGH PREASURE 2 BURNER,910001,KOMPOR GAS HIGH PREASURE 2 BURNER KOMPOR GAS HIGH PREASURE 2 BURNER
910001KURI KAYU - OJOL,910001,KURI KAYU - OJOL
910001KURSI KAYU - OJOL,910001,KURSI KAYU - OJOL
910001KURSI KAYU - SAMBUNG,910001,KURSI KAYU - SAMBUNG
910001KURSI KAYU - SINGLE,910001,KURSI KAYU - SINGLE
910001KURSI KAYU SINGLE,910001,KURSI KAYU SINGLE
910001KURSI OJOL,910001,KURSI OJOL
910001KURSI SINGLE,910001,KURSI SINGLE
910001KURSI SOFA GALAR KAYU,910001,KURSI SOFA GALAR KAYU
910001KURSI TC,910001,KURSI TC
910001KURSI TC - SAPPORO HITAM,910001,KURSI TC - SAPPORO HITAM
910001LAP TOP SET - ASUS A416M,910001,LAP TOP SET - ASUS A416M
910001LAPTOP SET -  ASUS TUF GAMING I7 - FX506HF - I725B6T - C,910001,LAPTOP SET -  ASUS TUF GAMING I7 - FX506HF - I725B6T - C
910001LAPTOP SET - ASUS A416M,910001,LAPTOP SET - ASUS A416M
910001LAPTOP SET - ASUS TUF F15 GAMING FA506NC-R535B3T-O,910001,LAPTOP SET - ASUS TUF F15 GAMING FA506NC-R535B3T-O
910001LAPTOP SET - ASUS TUF GAMING I7 FX506HF-I725B6T-O,910001,LAPTOP SET - ASUS TUF GAMING I7 FX506HF-I725B6T-O
910001LAPTOP SET - ASUS TUF R5 GAMING FA506NC-R535B3T,910001,LAPTOP SET - ASUS TUF R5 GAMING FA506NC-R535B3T
910001LAPTOP SET - ASUS VIVOBOOK A416MAO-FHD425,910001,LAPTOP SET - ASUS VIVOBOOK A416MAO-FHD425
910001LAPTOP SET - ASUS VIVOBOOK A416MAO-FHD426,910001,LAPTOP SET - ASUS VIVOBOOK A416MAO-FHD426
910001LAPTOP SET - HP PAVILION AERO 13-BE2001AU,910001,LAPTOP SET - HP PAVILION AERO 13-BE2001AU
910001LAPTOP SET - LENOVO IDEAPAD - 14IAU7,910001,LAPTOP SET - LENOVO IDEAPAD - 14IAU7
910001LAPTOP SET - LENOVO IDEAPAD 3,910001,LAPTOP SET - LENOVO IDEAPAD 3
910001LAPTOP SET - LENOVO IDEAPAD 3-14IAU7,910001,LAPTOP SET - LENOVO IDEAPAD 3-14IAU7
910001LAPTOP SET - LENOVO THINKPAD L13YOGA,910001,LAPTOP SET - LENOVO THINKPAD L13YOGA
910001LAPTOP SET - LENOVO THINKPAD T460,910001,LAPTOP SET - LENOVO THINKPAD T460
910001LAPTOP SET - LENOVO THINKPAD X1 YOGA,910001,LAPTOP SET - LENOVO THINKPAD X1 YOGA
910001LAPTOP SET - LENOVO THINKPAD X270,910001,LAPTOP SET - LENOVO THINKPAD X270
910001LAPTOP SET - MACBOOK AIR 2020 PROCC M1,910001,LAPTOP SET - MACBOOK AIR 2020 PROCC M1
910001LAPTOP SET - MSI GAMING I5 GF63 THIN 12VF-243ID,910001,LAPTOP SET - MSI GAMING I5 GF63 THIN 12VF-243ID
910001LAPTOP SET -LENOVO THINKPAD T460,910001,LAPTOP SET -LENOVO THINKPAD T460
"910001LAS ARGON - LAKONI MAG,TIG 200A",910001,"LAS ARGON - LAKONI MAG,TIG 200A"
910001LEMARI BESI BERNSTEIN SIZE 2 - SOLINGEN,910001,LEMARI BESI BERNSTEIN SIZE 2 - SOLINGEN
910001LICENSE POS SOLIS RESTO,910001,LICENSE POS SOLIS RESTO
910001MEAT GRINDER - HEAVYPRO JR120,910001,MEAT GRINDER - HEAVYPRO JR120
910001MEAT GRINDER - MAKSINDO MHW 80,910001,MEAT GRINDER - MAKSINDO MHW 80
910001MEJA KAYU - 60 X 120 CM,910001,MEJA KAYU - 60 X 120 CM
910001MEJA KAYU - 60 X 80 CM,910001,MEJA KAYU - 60 X 80 CM
910001MEJA KAYU - 60X120 CM,910001,MEJA KAYU - 60X120 CM
910001MEJA KAYU - 60X80 CM,910001,MEJA KAYU - 60X80 CM
910001MEJA KAYU - TC 60 X 270 CM,910001,MEJA KAYU - TC 60 X 270 CM
910001MEJA KAYU UK 120x60,910001,MEJA KAYU UK 120x60
910001MEJA KAYU UK 60x120,910001,MEJA KAYU UK 60x120
910001MEJA KAYU UK 60x80,910001,MEJA KAYU UK 60x80
910001MEJA KAYU UK 80x60,910001,MEJA KAYU UK 80x60
910001MEJA TC,910001,MEJA TC
910001MESIN CETAK BAKSO - XUZHONG SZ605S,910001,MESIN CETAK BAKSO - XUZHONG SZ605S
910001MESIN SERUT WORTEL - SS 304,910001,MESIN SERUT WORTEL - SS 304
910001MESIN SIOMAY FX-800/150 HEAVYPRO,910001,MESIN SIOMAY FX-800/150 HEAVYPRO
910001METAL DETECTOR - SESOTECH GLS 300/100,910001,METAL DETECTOR - SESOTECH GLS 300/100
910001MICROPIPETTE - SOCOREX 825-1000,910001,MICROPIPETTE - SOCOREX 825-1000
910001Microwave Oven,910001,Microwave Oven
910001MIKROTIK CCR2004-16G-2S+,910001,MIKROTIK CCR2004-16G-2S+
910001MIXER PLANETARY - XUZHONG SZM60,910001,MIXER PLANETARY - XUZHONG SZM60
910001MOISTURE BALANCE - OHAUS MB95,910001,MOISTURE BALANCE - OHAUS MB95
910001MONITOR TOUCHSCREEN - LED LG 17BR30T,910001,MONITOR TOUCHSCREEN - LED LG 17BR30T
910001MONITOR TOUCHSCREEN - LED LG 17MB15,910001,MONITOR TOUCHSCREEN - LED LG 17MB15
910001MONITOR TOUCHSCREEN - LED LG 17MB15T,910001,MONITOR TOUCHSCREEN - LED LG 17MB15T
910001MONITOR TOUCHSCREEN - LG 17MB15,910001,MONITOR TOUCHSCREEN - LG 17MB15
910001MONITOR TOUCHSCREEN - LG 17MB15T,910001,MONITOR TOUCHSCREEN - LG 17MB15T
910001MONITOR TOUCHSREEN - LED LG 17MB15T,910001,MONITOR TOUCHSREEN - LED LG 17MB15T
910001MULTI GAS DETECTOR - ALTAIR 4XR,910001,MULTI GAS DETECTOR - ALTAIR 4XR
910001N COMPUNTING - L300,910001,N COMPUNTING - L300
910001NOODLE BOILER - NAYATI 6 HOLE EGN 16 ECONA GAS,910001,NOODLE BOILER - NAYATI 6 HOLE EGN 16 ECONA GAS
910001NOODLE BOILER EGN 16 ECONA GAS,910001,NOODLE BOILER EGN 16 ECONA GAS
910001OVEN - MEMMERT UN55,910001,OVEN - MEMMERT UN55
910001PC - NCOMPUTING L300,910001,PC - NCOMPUTING L300
910001PC ( KOMPUTER ) SET - I3 GEN 10,910001,PC ( KOMPUTER ) SET - I3 GEN 10
910001PC ( KOMPUTER ) SET - I5 GEN 12,910001,PC ( KOMPUTER ) SET - I5 GEN 12
910001PC STATION SERVER (KOMPUTER OFFICE) - CORE I5 12400,910001,PC STATION SERVER (KOMPUTER OFFICE) - CORE I5 12400
910001PERFORATED RACK 4 TIERS,910001,PERFORATED RACK 4 TIERS
910001PERFORATED RACK 6 TIERS,910001,PERFORATED RACK 6 TIERS
910001POMPA AIR -  ITALI TECH 3INCHI,910001,POMPA AIR -  ITALI TECH 3INCHI
910001POMPA AIR - SHIMIZU JET 400,910001,POMPA AIR - SHIMIZU JET 400
910001POMPA AIR - SHIMIZU JET 400 BIT,910001,POMPA AIR - SHIMIZU JET 400 BIT
910001POMPA AIR - VENEZI STP 100,910001,POMPA AIR - VENEZI STP 100
"910001POMPA AIR - WASSER PUMP 1,5 HP SD-P315K",910001,"POMPA AIR - WASSER PUMP 1,5 HP SD-P315K"
910001POMPA AIR - WASSER PUMP PC 380,910001,POMPA AIR - WASSER PUMP PC 380
910001POMPA AIR - WASSER PUMP PDV 400 EA,910001,POMPA AIR - WASSER PUMP PDV 400 EA
910001POMPA AIR - WASSER PUMP PW-381 EA,910001,POMPA AIR - WASSER PUMP PW-381 EA
910001POMPA AIR - WASSER PUMP SDP-315K,910001,POMPA AIR - WASSER PUMP SDP-315K
910001POMPA AIR - WASSERPUMP PC 500-EA,910001,POMPA AIR - WASSERPUMP PC 500-EA
910001POMPA AIR - WASSERPUMP PW-381 EA SEMI JET PUMP,910001,POMPA AIR - WASSERPUMP PW-381 EA SEMI JET PUMP
910001POMPA SHIMIZU JET 400 BIT,910001,POMPA SHIMIZU JET 400 BIT
910001POMPA SUBMERSIBLE -  ITALI TECH 3INCHI,910001,POMPA SUBMERSIBLE -  ITALI TECH 3INCHI
910001POWERLIFT PALLET STACKER - DYC 15,910001,POWERLIFT PALLET STACKER - DYC 15
910001PRINTER - BROTHER DCP-L25040 DW,910001,PRINTER - BROTHER DCP-L25040 DW
910001PRINTER - EPSON L3210,910001,PRINTER - EPSON L3210
910001PRINTER - EPSON LX310 DOT MATRIX,910001,PRINTER - EPSON LX310 DOT MATRIX
910001PRINTER - HP SMART TANK INK 615,910001,PRINTER - HP SMART TANK INK 615
910001PRINTER EPSON L3210,910001,PRINTER EPSON L3210
910001PRINTER OFFICE - HP SMART THANK 615,910001,PRINTER OFFICE - HP SMART THANK 615
910001PRINTER OFFICE - HP SMART THANK NK 615,910001,PRINTER OFFICE - HP SMART THANK NK 615
910001PYLONSIGN,910001,PYLONSIGN
910001PYLONSIGN - 2 SISI MIE GACOAN,910001,PYLONSIGN - 2 SISI MIE GACOAN
910001PYLONSIGN - LOGO 24 JAM,910001,PYLONSIGN - LOGO 24 JAM
910001PYLONSIGN 2 SISI,910001,PYLONSIGN 2 SISI
910001PYLONSIGN 2 SISI - MIE GACOAN,910001,PYLONSIGN 2 SISI - MIE GACOAN
910001RAK BUKU BESI,910001,RAK BUKU BESI
910001RAK DIMSUM - SS 201 600x600x1600,910001,RAK DIMSUM - SS 201 600x600x1600
910001RAK SUSUN PERFORATED 4 SUSUN,910001,RAK SUSUN PERFORATED 4 SUSUN
910001RAK SUSUN PERFORATED 4 SUSUN (BACK SINK AREA),910001,RAK SUSUN PERFORATED 4 SUSUN (BACK SINK AREA)
910001RAK SUSUN PERFORATED 6 SUSUN,910001,RAK SUSUN PERFORATED 6 SUSUN
910001RAK SUSUN PERFORATED 6 SUSUN (BACK SINK AREA),910001,RAK SUSUN PERFORATED 6 SUSUN (BACK SINK AREA)
910001RAK SUSUN SOLID,910001,RAK SUSUN SOLID
910001RAK SUSUN SOLID (COLD STORAGE AREA),910001,RAK SUSUN SOLID (COLD STORAGE AREA)
910001RAK SUSUN SOLID 4 SUSUN,910001,RAK SUSUN SOLID 4 SUSUN
910001SELECTIVE PALLET RACKING (3 TINGKAT),910001,SELECTIVE PALLET RACKING (3 TINGKAT)
910001SELECTIVE PALLET RACKING (4 TINGKAT),910001,SELECTIVE PALLET RACKING (4 TINGKAT)
910001SINGLE SINK,910001,SINGLE SINK
910001SINGLE SINK (KITCHEN AREA),910001,SINGLE SINK (KITCHEN AREA)
910001SMART SOFTWARE CLOUD,910001,SMART SOFTWARE CLOUD
910001SMART WEB REPORT CLOUD,910001,SMART WEB REPORT CLOUD
910001SOLID RACK 4 TIERS,910001,SOLID RACK 4 TIERS
910001SOLID RACK 4 TIERS - SS 201 1600x500x1550,910001,SOLID RACK 4 TIERS - SS 201 1600x500x1550
910001SOLID RACK 4 TIERS (COLD STORAGE AREA),910001,SOLID RACK 4 TIERS (COLD STORAGE AREA)
910001SOLID RACK 4 TIERS (DRY STORAGE AREA),910001,SOLID RACK 4 TIERS (DRY STORAGE AREA)
910001SPINNER MACHINE,910001,SPINNER MACHINE
910001STEAMER 4 HOLE - ECONA EEDS 4-60,910001,STEAMER 4 HOLE - ECONA EEDS 4-60
910001STORAGE BOX SPAREPART,910001,STORAGE BOX SPAREPART
910001TANGKI BOILER - CUSTOM EGN,910001,TANGKI BOILER - CUSTOM EGN
910001TANGKI BOILER - NAYATI EGN 4-75,910001,TANGKI BOILER - NAYATI EGN 4-75
910001TANGKI BOILER - NAYATI NGN 16 MR,910001,TANGKI BOILER - NAYATI NGN 16 MR
910001TANGKI BOILER EGN - CUSTOM,910001,TANGKI BOILER EGN - CUSTOM
910001TANGKI FRYER  - NAYATI SS430 F/GFE/40 RS,910001,TANGKI FRYER  - NAYATI SS430 F/GFE/40 RS
910001TIMBANGAN ANALYTIC - BIOBASE BA2204B,910001,TIMBANGAN ANALYTIC - BIOBASE BA2204B
910001TOOL CABINET -  KRISBOW 900X450X1800MM LPCBU1,910001,TOOL CABINET -  KRISBOW 900X450X1800MM LPCBU1
910001TRAVO LAS - RILON 400A 3PHASE,910001,TRAVO LAS - RILON 400A 3PHASE
910001TRIPLE SINK,910001,TRIPLE SINK
910001TRIPLE SINK (BACK SINK AREA),910001,TRIPLE SINK (BACK SINK AREA)
910001WASSER VORTEX PUMP PDV-400E 400W,910001,WASSER VORTEX PUMP PDV-400E 400W
910001WASSERPUMP PC 500-EA,910001,WASSERPUMP PC 500-EA
910001WASSERPUMP PW-381 EA,910001,WASSERPUMP PW-381 EA
910001WATER BATH - MEMMERT WTB15,910001,WATER BATH - MEMMERT WTB15
910001WATERTREATMENT,910001,WATERTREATMENT
910001WIRELESS CALLING SYSTEM SET - KOLMI,910001,WIRELESS CALLING SYSTEM SET - KOLMI
910001WORK TABLE,910001,WORK TABLE
910001WORK TABLE - SS 304 1800x800x830,910001,WORK TABLE - SS 304 1800x800x830
910001WORK TABLE (BACK SINK AREA),910001,WORK TABLE (BACK SINK AREA)
910001WORK TABLE (KITCHEN AREA),910001,WORK TABLE (KITCHEN AREA)
910001WORK TABLE (SERVICE AREA),910001,WORK TABLE (SERVICE AREA)
910001WORK TABLE DOUBLE UNDER SHELF (BACK SINK AREA),910001,WORK TABLE DOUBLE UNDER SHELF (BACK SINK AREA)
910001WORK TABLE DOUBLE UNDER SHELF (SERVICE AREA),910001,WORK TABLE DOUBLE UNDER SHELF (SERVICE AREA)
910001WORK TABLE GRAVITY ROLL,910001,WORK TABLE GRAVITY ROLL
910001WORK TABLE UK. 1200X700X850,910001,WORK TABLE UK. 1200X700X850
910001WORKTABLE,910001,WORKTABLE
910001WORKTABLE 150X70X85,910001,WORKTABLE 150X70X85
"910001WORKTABLE DOUBLE UNDERSHELF UK 1,8",910001,"WORKTABLE DOUBLE UNDERSHELF UK 1,8"
100001AYAM DADA FILLET - CP,100001,AYAM DADA FILLET - CP
100004BAWANG PUTIH - CP,100004,BAWANG PUTIH - CP
100006CABE RAWIT - CP,100006,CABE RAWIT - CP
100011GULA -RESTO,100011,GULA -RESTO
100016KULIT PANGSIT,100016,KULIT PANGSIT
100017LPG 12KG,100017,LPG 12KG
100025TEPUNG ROTI,100025,TEPUNG ROTI
100026WORTEL - CP,100026,WORTEL - CP
100028MIE,100028,MIE
100030TEPUNG TERIGU SEGITIGA,100030,TEPUNG TERIGU SEGITIGA
100032KULIT PANGSIT (KULIT SIOMAY) - CP,100032,KULIT PANGSIT (KULIT SIOMAY) - CP
100037BASIC MIE,100037,BASIC MIE
100039BIANG AYAM CINCANG - CP,100039,BIANG AYAM CINCANG - CP
100040TAHU - CP,100040,TAHU - CP
100041AIR MINERAL BOTOL,100041,AIR MINERAL BOTOL
100042BUAH BELIMBING,100042,BUAH BELIMBING
100044BUAH PEER,100044,BUAH PEER
100045BUAH STRAWBERRY,100045,BUAH STRAWBERRY
100046CINCAU,100046,CINCAU
100047BUAH APEL,100047,BUAH APEL
100049JELLY BUBBLE,100049,JELLY BUBBLE
100050JELLY MIE,100050,JELLY MIE
100051LEMON TEA - NESTLE,100051,LEMON TEA - NESTLE
100052MILO,100052,MILO
100053NATA DE COCO,100053,NATA DE COCO
100054ORANGE - NESTLE,100054,ORANGE - NESTLE
100056SIRUP MOCCA,100056,SIRUP MOCCA
100058SUN QUICK LEMON,100058,SUN QUICK LEMON
100059TEA GOPEK,100059,TEA GOPEK
100060TEA NAGA,100060,TEA NAGA
100061TEA TARIK - NESTLE,100061,TEA TARIK - NESTLE
100062VANILLA LATTE - NESTLE,100062,VANILLA LATTE - NESTLE
100063JERUK NIPIS,100063,JERUK NIPIS
100064SUSU KENTAL MANIS,100064,SUSU KENTAL MANIS
100065SUSU ULTRA UHT FULL CREAM,100065,SUSU ULTRA UHT FULL CREAM
100068CREAMER,100068,CREAMER
100069BLACK THAI TEA,100069,BLACK THAI TEA
100070GREEN THAI TEA,100070,GREEN THAI TEA
100071SUSU EVAPORASI,100071,SUSU EVAPORASI
100074BIANG PANGSIT - CP,100074,BIANG PANGSIT - CP
100077BAWANG BOMBAY - CP,100077,BAWANG BOMBAY - CP
100084UDANG KUPAS - CP,100084,UDANG KUPAS - CP
100093AYAM PAHA FILLET - CP,100093,AYAM PAHA FILLET - CP
100094KULIT TAHU KECIL - CP,100094,KULIT TAHU KECIL - CP
100095KEJU,100095,KEJU
100096PLASTIK VACUM BESAR 23 X 34,100096,PLASTIK VACUM BESAR 23 X 34
100097PLASTIK VACUM SEDANG 20 X 30,100097,PLASTIK VACUM SEDANG 20 X 30
100100HD PLASTIK TICTAS 15X17 (DUREN 2),100100,HD PLASTIK TICTAS 15X17 (DUREN 2)
100102HD PLASTIK TICTAS 15X30X50 (DUREN 3),100102,HD PLASTIK TICTAS 15X30X50 (DUREN 3)
100103ADONAN PANGSIT,100103,ADONAN PANGSIT
100108BAWANG GORENG,100108,BAWANG GORENG
100109MINYAK MIE,100109,MINYAK MIE
100116JAMUR HITAM (SHITAKE) KERING 3KG,100116,JAMUR HITAM (SHITAKE) KERING 3KG
100117POWDER ES COKLAT - NESTLE,100117,POWDER ES COKLAT - NESTLE
100119KECAP SAWI POUCH,100119,KECAP SAWI POUCH
100120KESET BIHUN GULUNG (POTONGAN),100120,KESET BIHUN GULUNG (POTONGAN)
100121SURAI NAGA (v.20),100121,SURAI NAGA (v.20)
100122KRUPUK MIE (v.20),100122,KRUPUK MIE (v.20)
100124CABE RAWIT - RESTO,100124,CABE RAWIT - RESTO
100129TELUR - RESTO,100129,TELUR - RESTO
100130DAUN BAWANG/BRAMBANG - RESTO,100130,DAUN BAWANG/BRAMBANG - RESTO
100132TEPUNG TELUR,100132,TEPUNG TELUR
100133MINYAK GORENG - CP (v.20),100133,MINYAK GORENG - CP (v.20)
100134DIPPING FINNA SACHET,100134,DIPPING FINNA SACHET
100135POTASSIUM SORBAT - CP,100135,POTASSIUM SORBAT - CP
100138BIANG DIMSUM BASAH - CP v.20,100138,BIANG DIMSUM BASAH - CP v.20
100139BIANG DIMSUM KERING - CP v.20,100139,BIANG DIMSUM KERING - CP v.20
100143MINYAK GORENG - RESTO (v.20),100143,MINYAK GORENG - RESTO (v.20)
100144PAPER PLATE MIE,100144,PAPER PLATE MIE
100151PAPER PLATE DIMSUM,100151,PAPER PLATE DIMSUM
100152GARAM - RESTO,100152,GARAM - RESTO
100154TEPUNG DIMSUM - CP v.30,100154,TEPUNG DIMSUM - CP v.30
100155IPAL - NEW CP,100155,IPAL - NEW CP
100157LEMON TEA - AW,100157,LEMON TEA - AW
100158ORANGE - AW,100158,ORANGE - AW
100159VANILLA LATTE - AW,100159,VANILLA LATTE - AW
100160COKLAT - AW,100160,COKLAT - AW
100161TEA TARIK - AW,100161,TEA TARIK - AW
100162SIRUP ROSE (V.20),100162,SIRUP ROSE (V.20)
100163SIRUP LECHY (V.20),100163,SIRUP LECHY (V.20)
100164TOPPING DAUN KERING MIE - RESTO,100164,TOPPING DAUN KERING MIE - RESTO
100165TEXTURED VEGETABLE PROTEINS,100165,TEXTURED VEGETABLE PROTEINS
100166SUSU KENTAL MANIS POUCH,100166,SUSU KENTAL MANIS POUCH
100167UDANG THAWING,100167,UDANG THAWING
100168NIPIS MADU,100168,NIPIS MADU
200004DITEKTOR UANG PALSU,200004,DITEKTOR UANG PALSU
200011KURSI KANTOR,200011,KURSI KANTOR
200021MEJA KANTOR,200021,MEJA KANTOR
200032RAK KONTAINER KECIL,200032,RAK KONTAINER KECIL
200033RAK SEPATU KARYAWAN,200033,RAK SEPATU KARYAWAN
200036TANGKI BOILER,200036,TANGKI BOILER
200040BALON WHISK,200040,BALON WHISK
200041BOTOL DIPPING BESAR,200041,BOTOL DIPPING BESAR
200042BOTOL KECAP KECIL,200042,BOTOL KECAP KECIL
200043BOTOL SPRAY,200043,BOTOL SPRAY
200044CAPIT SNACK ( BESAR ),200044,CAPIT SNACK ( BESAR )
200047CETING TRADISI ( BESAR ),200047,CETING TRADISI ( BESAR )
200048CETING TRADISI ( KECIL ),200048,CETING TRADISI ( KECIL )
200052DANDANG ACIN UK 60,200052,DANDANG ACIN UK 60
200053DISPENSER,200053,DISPENSER
200056EROS MELAMINE UK BESAR,200056,EROS MELAMINE UK BESAR
200062EROS STAINLESS UK 30 CC,200062,EROS STAINLESS UK 30 CC
200065EROS STAINLESS UK BESAR,200065,EROS STAINLESS UK BESAR
200067FOOD PAN KECIL,200067,FOOD PAN KECIL
200068GARPU ADUKAN MIE,200068,GARPU ADUKAN MIE
200070GARPU MAKAN,200070,GARPU MAKAN
200071GAS BURNER ( LONG SHUN ),200071,GAS BURNER ( LONG SHUN )
200078GELAS KARYAWAN,200078,GELAS KARYAWAN
200081GELAS MINUMAN HANGAT,200081,GELAS MINUMAN HANGAT
200083GELAS TEA,200083,GELAS TEA
200084GELAS UKUR,200084,GELAS UKUR
200085GELAS UKUR 130 ML,200085,GELAS UKUR 130 ML
200086GOLOK,200086,GOLOK
200089JIGGER UK 20/30,200089,JIGGER UK 20/30
200090JIGGER UK 20/40,200090,JIGGER UK 20/40
200091JIGGER UK 30/40,200091,JIGGER UK 30/40
200092KLAKAT DIMSUM,200092,KLAKAT DIMSUM
200101NAMPAN KARET BULAT,200101,NAMPAN KARET BULAT
